feature,importance
num_credit_amount,0.09502410823672863
num_duration,0.0792800745639525
num_age,0.07788370950569137
cat_checking_status_no_checking,0.06278627863137726
cat_checking_status_0,0.038223975785090236
num_residence_since,0.034522953850838894
num_installment_commitment,0.030755239558731464
cat_credit_history_critical_other_existing_credit,0.02301848402012032
cat_savings_status_100,0.0222376948207326
cat_checking_status_0_x_200,0.019155158237066938
num_existing_credits,0.018032463575528263
cat_other_payment_plans_none,0.017688776806182215
cat_purpose_new_car,0.017108565508048117
cat_purpose_radio_tv,0.016183083282830316
cat_purpose_used_car,0.01586344357459639
cat_property_magnitude_real_estate,0.01545394976722893
cat_savings_status_no_known_savings,0.014952828860958249
cat_personal_status_male_single,0.01493295639033817
cat_property_magnitude_car,0.01490433839251211
cat_personal_status_female_div_dep_mar,0.014897957104006591
cat_own_telephone_none,0.014247156492143278
cat_employment_1_x_4,0.01423111808965082
cat_housing_own,0.013785742236641372
cat_job_skilled,0.013584135914745894
cat_property_magnitude_life_insurance,0.013556766759682886
cat_other_payment_plans_bank,0.013421088163112448
cat_employment_1,0.01330508990023376
cat_own_telephone_yes,0.01323165586610695
cat_employment_7,0.013017998739266708
cat_purpose_furniture_equipment,0.012039792699445794
cat_credit_history_existing_paid,0.012021684767016056
cat_property_magnitude_no_known_property,0.01171760458287533
num_num_dependents,0.011535687862400503
cat_employment_4_x_7,0.011362803472199423
cat_housing_rent,0.010762198211972718
cat_job_unskilled_resident,0.010732267441124781
cat_other_parties_guarantor,0.01059451090794359
cat_job_high_qualif_self_emp_mgmt,0.010555786492562242
cat_other_parties_none,0.009397357189758242
cat_purpose_business,0.008711850888670474
cat_savings_status_100_x_500,0.008500653492776549
cat_credit_history_delayed_previously,0.008070062700276454
cat_personal_status_male_mar_wid,0.0078240384640175
cat_employment_unemployed,0.007754817712887964
cat_checking_status_200,0.007747834789229388
cat_purpose_education,0.007300654672689648
cat_savings_status_1000,0.006421410394376199
cat_personal_status_male_div_sep,0.00641873453247533
cat_housing_for_free,0.006350899124402081
cat_other_parties_co_applicant,0.006219931645576901
cat_credit_history_no_credits_all_paid,0.00614276496417543
cat_other_payment_plans_stores,0.005981269049046587
cat_foreign_worker_yes,0.005499186417290029
cat_credit_history_all_paid,0.005336799974571527
cat_savings_status_500_x_1000,0.005127093250681344
cat_purpose_repairs,0.004071203958939993
cat_foreign_worker_no,0.003959949734100076
cat_job_unemp_unskilled_non_res,0.0026440800585785292
cat_purpose_other,0.0018478650126666127
cat_purpose_domestic_appliance,0.0013486998844997366
cat_purpose_retraining,0.0007137130166292621
